Start:, 16/09/2012 20:21:54 , HipCenter , , , Spine , , , ShoulderCenter , , , Head , , , ShoulderLeft , , , ElbowLeft , , , WristLeft , , , HandLeft , , , ShoulderRight , , , ElbowRight , , , WristRight , , , HandRight , , , HipLeft , , , KneeLeft , , , AnkleLeft , , , FootLeft , , , HipRight , , , KneeRight , , , AnkleRight , , , FootRight , , , 
10 , 332 , -0.006910041 , -0.0333496 , 3.039923 , -0.007280348 , 0.03667164 , 3.036176 , -0.0001451808 , 0.3747737 , 2.981647 , 0.001006516 , 0.5308854 , 2.894135 , -0.1845719 , 0.2913564 , 2.984515 , -0.3001381 , 0.07747549 , 2.970922 , -0.2805751 , -0.08872837 , 2.810776 , -0.2502759 , -0.1639235 , 2.704611 , 0.1771922 , 0.2931443 , 3.044281 , 0.2771173 , 0.06047164 , 3.124586 , 0.3346304 , -0.1368355 , 2.988253 , 0.3460097 , -0.2025165 , 2.905189 , -0.08964334 , -0.1157883 , 3.037496 , -0.1582403 , -0.6294224 , 3.061947 , -0.2016408 , -1.045345 , 3.104315 , -0.1870392 , -1.104234 , 3.010076 , 0.07257301 , -0.117783 , 3.058819 , 0.1244021 , -0.6462158 , 3.093213 , 0.1550521 , -1.064262 , 3.154161 , 0.1696538 , -1.123151 , 3.059923 , 
11 , 368 , -0.008635393 , -0.05255485 , 3.046507 , -0.008798155 , 0.0158127 , 3.038414 , -0.003089531 , 0.3464381 , 2.969675 , 0.009272198 , 0.5019763 , 2.878688 , -0.1864807 , 0.2674026 , 2.97276 , -0.300117 , 0.0706949 , 2.966513 , -0.2754817 , -0.1478713 , 2.773595 , -0.2436504 , -0.204602 , 2.700429 , 0.1771289 , 0.2673653 , 3.030233 , 0.2780113 , 0.04812988 , 3.12202 , 0.332909 , -0.1434436 , 2.991204 , 0.3428134 , -0.2280908 , 2.894545 , -0.09211034 , -0.1348932 , 3.048541 , -0.1602055 , -0.6319683 , 3.058205 , -0.2015092 , -1.046691 , 3.106101 , -0.1877902 , -1.107603 , 3.013026 , 0.07208579 , -0.1351309 , 3.068894 , 0.126094 , -0.6471765 , 3.090569 , 0.1630777 , -1.062062 , 3.14684 , 0.1767968 , -1.122974 , 3.053765 , 
12 , 400 , -0.01053853 , -0.06829593 , 3.051431 , -0.01057529 , -0.0003341944 , 3.040144 , -0.004837084 , 0.3295261 , 2.962666 , 0.01004112 , 0.4854031 , 2.860515 , -0.1843388 , 0.2487046 , 2.963815 , -0.3026645 , 0.04472732 , 2.952721 , -0.2752755 , -0.1588886 , 2.782028 , -0.2488803 , -0.2248148 , 2.702538 , 0.1752874 , 0.2489979 , 3.024217 , 0.2839259 , 0.01859752 , 3.11365 , 0.3306856 , -0.1715286 , 3.000749 , 0.3399343 , -0.2517454 , 2.931169 , -0.09337839 , -0.1478168 , 3.05445 , -0.160568 , -0.6334506 , 3.052032 , -0.20673 , -1.042781 , 3.097354 , -0.1712576 , -1.129902 , 3.112398 , 0.06984524 , -0.1494406 , 3.077478 , 0.1299136 , -0.6558539 , 3.085102 , 0.164233 , -1.058977 , 3.140535 , 0.1787792 , -1.121226 , 3.048483 , 
13 , 436 , -0.01134432 , -0.08217065 , 3.056118 , -0.01053659 , -0.01585364 , 3.041994 , 0.0007294136 , 0.3019731 , 2.951895 , 0.01151177 , 0.4651459 , 2.844012 , -0.1839679 , 0.2270611 , 2.953438 , -0.3005449 , 0.02548337 , 2.947244 , -0.2860605 , -0.1940122 , 2.792301 , -0.2563369 , -0.2608468 , 2.714784 , 0.18061 , 0.225092 , 3.0184 , 0.2801282 , 0.005930222 , 3.117083 , 0.3284335 , -0.1834176 , 3.005268 , 0.3366788 , -0.2614445 , 2.933136 , -0.09586886 , -0.1648926 , 3.062922 , -0.1616871 , -0.6324924 , 3.044899 , -0.2096196 , -1.033866 , 3.082346 , -0.189378 , -1.121882 , 3.05206 , 0.06839345 , -0.1638574 , 3.086341 , 0.1319361 , -0.6539047 , 3.080146 , 0.1649212 , -1.058026 , 3.139662 , 0.1800515 , -1.122516 , 3.049268 , 
14 , 468 , -0.01447839 , -0.1067364 , 3.060223 , -0.01316334 , -0.04226554 , 3.042786 , 0.0006692935 , 0.27151 , 2.942047 , 0.009736275 , 0.4266435 , 2.830351 , -0.1823625 , 0.1891385 , 2.932311 , -0.3056765 , -0.002180379 , 2.941316 , -0.2893153 , -0.2196029 , 2.797311 , -0.2633017 , -0.3000505 , 2.732435 , 0.1789913 , 0.2054953 , 3.01058 , 0.2801699 , -0.0134968 , 3.11883 , 0.3293193 , -0.2341522 , 3.027654 , 0.3382894 , -0.3091816 , 2.952504 , -0.09813014 , -0.1856047 , 3.068643 , -0.1635899 , -0.6367318 , 3.031542 , -0.2135065 , -1.021776 , 3.069107 , -0.193959 , -1.088192 , 2.980985 , 0.06336775 , -0.1849755 , 3.093655 , 0.1345193 , -0.6539431 , 3.074568 , 0.1660152 , -1.0505 , 3.131641 , 0.1855627 , -1.116916 , 3.043519 , 
15 , 500 , -0.01506926 , -0.1289358 , 3.063233 , -0.01341825 , -0.06518345 , 3.042839 , 0.0007256245 , 0.2424451 , 2.930444 , 0.01710309 , 0.4042984 , 2.822844 , -0.1792201 , 0.1689228 , 2.922406 , -0.3068538 , -0.0102022 , 2.939177 , -0.2946853 , -0.2657412 , 2.806133 , -0.2643599 , -0.3315473 , 2.743766 , 0.1790988 , 0.1718866 , 3.002304 , 0.2798909 , -0.04868009 , 3.117115 , 0.3269219 , -0.2458479 , 3.029539 , 0.3355854 , -0.3274119 , 2.961323 , -0.09811062 , -0.2070088 , 3.077379 , -0.1680506 , -0.6549577 , 3.017274 , -0.2186706 , -1.014478 , 3.059681 , -0.1997671 , -1.082938 , 2.973 , 0.06174304 , -0.2045491 , 3.096698 , 0.1359366 , -0.6539711 , 3.068539 , 0.1805124 , -1.026335 , 3.104779 , 0.199416 , -1.094796 , 3.018098 , 
16 , 536 , -0.02086245 , -0.1554009 , 3.065123 , -0.01983355 , -0.09391119 , 3.040841 , -0.01062682 , 0.2010218 , 2.909187 , 0.01765749 , 0.363099 , 2.802976 , -0.1785046 , 0.1437279 , 2.910739 , -0.3184975 , -0.06963471 , 2.925632 , -0.3028441 , -0.2870491 , 2.843453 , -0.2822024 , -0.360439 , 2.768859 , 0.179558 , 0.1448005 , 2.995777 , 0.280655 , -0.07634313 , 3.116528 , 0.3218814 , -0.288796 , 3.04039 , 0.3307607 , -0.373928 , 2.976749 , -0.1028989 , -0.2318769 , 3.080261 , -0.1728407 , -0.677716 , 3.004802 , -0.2181216 , -1.007347 , 3.046708 , -0.1987298 , -1.07908 , 2.963002 , 0.05567516 , -0.2321926 , 3.106986 , 0.1413683 , -0.6784412 , 3.061846 , 0.1810739 , -1.028512 , 3.107328 , 0.2004657 , -1.100245 , 3.023623 , 
17 , 568 , -0.02326044 , -0.1706626 , 3.067368 , -0.02146738 , -0.1091014 , 3.040617 , -0.008192933 , 0.1877497 , 2.902281 , 0.02474052 , 0.3483333 , 2.781218 , -0.1762156 , 0.1243143 , 2.90157 , -0.3211377 , -0.07866685 , 2.925264 , -0.3071273 , -0.339478 , 2.839184 , -0.2957469 , -0.4122474 , 2.770537 , 0.1799336 , 0.1309913 , 2.990876 , 0.2810174 , -0.0887114 , 3.113933 , 0.3210613 , -0.3095044 , 3.059175 , 0.3331439 , -0.404766 , 3.012513 , -0.1058276 , -0.2450787 , 3.085245 , -0.1768204 , -0.6879582 , 2.99373 , -0.2177205 , -1.005328 , 3.041569 , -0.1969211 , -1.078179 , 2.959185 , 0.05284917 , -0.2450036 , 3.110611 , 0.1458271 , -0.6884479 , 3.052866 , 0.1811566 , -1.02842 , 3.107149 , 0.2019559 , -1.101271 , 3.024765 , 
18 , 600 , -0.02228138 , -0.1930638 , 3.068617 , -0.0204091 , -0.1321076 , 3.040102 , -0.006732802 , 0.1649402 , 2.896456 , 0.02497922 , 0.3121374 , 2.768587 , -0.1736285 , 0.09552763 , 2.891759 , -0.3304411 , -0.1128771 , 2.919686 , -0.3315096 , -0.356906 , 2.836235 , -0.3100166 , -0.4373221 , 2.778797 , 0.1828643 , 0.09933503 , 2.985131 , 0.2775247 , -0.1210747 , 3.111564 , 0.3189747 , -0.3577576 , 3.077576 , 0.3347762 , -0.4393944 , 3.018234 , -0.1048891 , -0.2671792 , 3.088467 , -0.1802169 , -0.7063825 , 2.983112 , -0.2160805 , -1.003475 , 3.0339 , -0.1948434 , -1.07719 , 2.952415 , 0.05383909 , -0.2669945 , 3.11358 , 0.1549873 , -0.7065081 , 3.040195 , 0.1815764 , -1.025262 , 3.104388 , 0.2028135 , -1.098976 , 3.022902 , 
19 , 636 , -0.02214656 , -0.2186881 , 3.063755 , -0.01959009 , -0.1613937 , 3.034061 , -0.001649486 , 0.1149687 , 2.886702 , 0.01856544 , 0.2761782 , 2.763941 , -0.1753387 , 0.06760116 , 2.885462 , -0.3448675 , -0.1459193 , 2.923785 , -0.3489602 , -0.3803841 , 2.840842 , -0.3343385 , -0.4677439 , 2.795966 , 0.1819081 , 0.07537907 , 2.978836 , 0.2780576 , -0.1369054 , 3.115747 , 0.3204941 , -0.3631757 , 3.082678 , 0.3378475 , -0.4643221 , 3.053175 , -0.1048294 , -0.2910792 , 3.08441 , -0.185596 , -0.726183 , 2.966531 , -0.2289204 , -1.084916 , 2.994777 , -0.2077431 , -1.160783 , 2.915303 , 0.05236996 , -0.2934411 , 3.11133 , 0.1646212 , -0.7282504 , 3.026756 , 0.1795612 , -1.033245 , 3.107299 , 0.2007385 , -1.109112 , 3.027825 , 
